party_name,person_name,role_title,taxonomy_category,source_url,extraction_method,review_decision,review_notes
DENK,Muhaimin Al-Robayi,Bestuurslid,registered_party_board,https://www.bewegingdenk.nl/bestuur-denk/,manual,reviewed,
PVDD,Zwanny Naber,Voorzitter,registered_party_board,https://www.partijvoordedieren.nl/onze-mensen#bestuur,manual,reviewed,
PVDD,Meike de Boer,Vice-voorzitter,registered_party_board,https://www.partijvoordedieren.nl/onze-mensen#bestuur,manual,reviewed,
PVDD,Paul van Gent,Secretaris,registered_party_board,https://www.partijvoordedieren.nl/onze-mensen#bestuur,manual,reviewed,
PVDD,Guus Beckett,Penningmeester,registered_party_board,https://www.partijvoordedieren.nl/onze-mensen#bestuur,manual,reviewed,
PVDD,Andreas Ligtvoet,Algemeen bestuurslid,registered_party_board,https://www.partijvoordedieren.nl/onze-mensen#bestuur,manual,reviewed,
PVDD,Bram van Liere,Algemeen bestuurslid,registered_party_board,https://www.partijvoordedieren.nl/onze-mensen#bestuur,manual,reviewed,
PVDD,Miroya Reinders,Algemeen bestuurslid,registered_party_board,https://www.partijvoordedieren.nl/onze-mensen#bestuur,manual,reviewed,
ChristenUnie,Marco Vermin,Voorzitter Landelijk Bestuur,registered_party_board,https://www.christenunie.nl/groep/landelijk-bestuur,manual,reviewed,
ChristenUnie,Gert Jan Freeke,Vicevoorzitter Landelijk Bestuur,registered_party_board,https://www.christenunie.nl/groep/landelijk-bestuur,manual,reviewed,
ChristenUnie,Johanna Koffeman-Kramer,Internationaal Secretaris Landelijk Bestuur,registered_party_board,https://www.christenunie.nl/groep/landelijk-bestuur,manual,reviewed,
ChristenUnie,Reina Dijksterhuis,Lid Landelijk Bestuur,registered_party_board,https://www.christenunie.nl/groep/landelijk-bestuur,manual,reviewed,
ChristenUnie,Matthijs de Vries,Lid Landelijk Bestuur,registered_party_board,https://www.christenunie.nl/groep/landelijk-bestuur,manual,reviewed,
ChristenUnie,Wieger Kastelein,Penningmeester Landelijk Bestuur,registered_party_board,https://www.christenunie.nl/groep/landelijk-bestuur,manual,reviewed,
ChristenUnie,Mart Keuning,Secretaris Landelijk Bestuur,registered_party_board,https://www.christenunie.nl/groep/landelijk-bestuur,manual,reviewed,
SP,Lieke van Rossum,Voorzitter,registered_party_board,https://sp.nl/partij/organisatie/partij-organisatie,manual,reviewed,
SP,Nils Müller,Algemeen secretaris,registered_party_board,https://sp.nl/partij/organisatie/partij-organisatie,manual,reviewed,
SP,Gerrie Elfrink,Penningmeester,registered_party_board,https://sp.nl/partij/organisatie/partij-organisatie,manual,reviewed,
SP,Bastiaan Meijer,Bestuurslid,registered_party_board,https://sp.nl/partij/organisatie/partij-organisatie,manual,reviewed,
SP,Mathijs ten Broeke,Bestuurslid,registered_party_board,https://sp.nl/partij/organisatie/partij-organisatie,manual,reviewed,
SP,Bram Roovers,Bestuurslid,registered_party_board,https://sp.nl/partij/organisatie/partij-organisatie,manual,reviewed,
SP,Hans Boerwinkel,Bestuurslid,registered_party_board,https://sp.nl/partij/organisatie/partij-organisatie,manual,reviewed,
SP,Heidi Bouhlel-Lascaris,Bestuurslid,registered_party_board,https://sp.nl/partij/organisatie/partij-organisatie,manual,reviewed,
SP,Aldo Schelvis,Bestuurslid,registered_party_board,https://sp.nl/partij/organisatie/partij-organisatie,manual,reviewed,
SP,Lian Veenstra,Bestuurslid,registered_party_board,https://sp.nl/partij/organisatie/partij-organisatie,manual,reviewed,
SP,Jeremie van Zeist,Bestuurslid,registered_party_board,https://sp.nl/partij/organisatie/partij-organisatie,manual,reviewed,
VOLT,Kees van Lede,Covoorzitter,registered_party_board,https://voltnederland.org/mensen/bestuur,manual,reviewed,
,Denise Filippo,Interim covoorzitter,registered_party_board,https://voltnederland.org/mensen/bestuur,manual,reviewed,
,Wesley Breel,Secretaris,registered_party_board,https://voltnederland.org/mensen/bestuur,manual,reviewed,
,Mazdak Soltani,Penningmeester,registered_party_board,https://voltnederland.org/mensen/bestuur,manual,reviewed,
,Manou Zonderland,Bestuurslid,registered_party_board,https://voltnederland.org/mensen/bestuur,manual,reviewed,
